Україна;16–59 років;18 років і старше;60 років і старше;65 років і старше
Вінницька;492965;716912;238968;183408									
Волинська;324719;434158;120666;90377									
Дніпропетровська;1034047;1488204;479337;357196
Донецька;1 349 596;2 013 762;695 553;520 084
Житомирська;383 796;551 124;179 351;136 369
Закарпатська;396 308;511 631;129 209;92 610
Запорізька;555 397;810 259;268 071;197 039
Івано-Франківська;437 037;591 332;168 751;127 012	
Київська;548 839;773 452;238 721;177 630
Кіровоградська;299 010;439 413;148 543;112 433
Луганська;696 959;1 042 600;361 240;269 653
Львівська;795 678;1 087 898;317 434;238 629
Миколаївська;367 904;520 933;162 987;119 262
Одеська;745 573;1 039 947;315 430;230 593
Полтавська;451 573;658 634;218 830;166 272
Рівненська;360 260;474 751;128 041;95 587
Сумська;354 121;517 871;173 008;128 243
Тернопільська;336 549;468 253;142 658;109 522
Харківська;868 264;1 244 411;397 047;290 958
Херсонська;334 703;473 261;148 091;107 967
Хмельницька;398 491;576 640;190 028;144 064
Черкаська;387 747;572 894;195 555;148 637
Чернівецька;289 857;390 336;110 700;82 343
Чернігівська;316 385;485 387;177 183;135 662
м. Київ;957 276;1 292 578;358 081;249 958
